date	BdoubleO100	Generikb
20121116	66187	61008
20121118	79166	72760
20121120	89911	87500
20121122	99295	95341
20121124	108187	121619
20121130	119363	135455
20121202	135011	152381
20121204	144210	163884
20121206	154872	177779
20121210	169768	186167
20121212	184751	202070
20121214	200731	224210
20121218	229483	250576
20121220	262539	294658
20121222	295981	320882
20130101	310762	331767
20130103	326740	338933
20130105	338527	347891
20130107	350123	357872
20130109	389512	376721
20130111	404167	389404
20130113	426158	407738
20130115	448510	419271
20130117	462580	435487
20130119	480692	458786
20130121	490685	471927
20130123	503168	483105
20130125	527464	505920
20130127	576216	539230
20130129	600406	566536
20130131	644344	587618
20130204	661454	606090
20130206	672442	614494
20130208	682094	624970
20130210	695411	638667
20130212	714248	653747
20130214	731431	668835
20130216	753236	692677
20130218	770370	711103
20130220	780724	724769
20130222	793700	747290
20130224	817525	764309
20130226	830816	776196
20130228	846193	788688
20130302	870242	810667
20130304	885310	831565
20130306	903275	855036
20130308	913145	870054
20130310	927242	887678
20130312	939498	904019
20130314	959121	921294
20130316	978229	939995
20130318	990625	961613
20130320	1007527	977580
20130322	1020499	990786
20130324	1032471	1000773
20130326	1041294	1009803
20130328	1050519	1022588
20130330	1057238	1030975
20130401	1057238	1030975
20130403	1072098	1053807
20130405	1089188	1069367
20130407	1099991	1083207
20130409	1110608	1107415
20130411	1130411	1130058
20130413	1147316	1152043
20130415	1157073	1160085
20130417	1176527	1178689
20130419	1187674	1198676
